                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6856,                 2.6892,                 1.9452,                0.72908,                  0.205,                0.29793,                0.09392,                 2.3371,                 3.2685,                  3.117,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.6017,                 2.1964,                 1.8406,                0.81286,                   0.33,                0.32513,                0.13756,                 2.3953,                 3.3274,                 3.3875,              0.0010458,              0.0010458,              0.0010458
                      3,                 1.5915,                 1.9894,                 1.8243,                0.75431,                  0.395,                0.35258,                0.14625,                 1.9107,                 4.1895,                 3.0891,               0.001492,               0.001492,               0.001492
