                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6856,                 2.6892,                 1.9452,                0.72908,                  0.205,                0.29793,                0.09392,                 2.3371,                 3.2685,                  3.117,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.6003,                 2.1947,                 1.8465,                0.71935,                  0.275,                0.23503,                0.07126,                 2.8328,                 3.0533,                 3.4477,              0.0010361,              0.0010361,              0.0010361
                      3,                  1.616,                 1.9807,                 1.8502,                0.83615,                  0.355,                0.39485,                0.15518,                   2.39,                 2.8346,                 3.3112,               0.001463,               0.001463,               0.001463
                      4,                 1.6183,                 1.9208,                 1.8366,                0.86224,                0.39442,                0.44769,                0.14019,                 2.2025,                 3.4481,                 3.1879,              0.0013758,              0.0013758,              0.0013758
                      5,                 1.5617,                 1.7122,                 1.7817,                0.99421,                0.42674,                0.53357,                0.25183,                  2.495,                 1.9459,                 3.3763,              0.0012787,              0.0012787,              0.0012787
                      6,                 1.5977,                 1.6851,                 1.7933,                0.68195,                  0.495,                0.54696,                0.23127,                 2.3311,                 1.8045,                 3.1048,              0.0011816,              0.0011816,              0.0011816
                      7,                 1.5688,                 1.6026,                 1.7785,                 0.5711,                0.47713,                0.49201,                0.20315,                 2.7846,                 1.8113,                 3.2845,              0.0010845,              0.0010845,              0.0010845
                      8,                 1.6921,                 1.7236,                 2.0828,                0.58989,                  0.625,                0.65107,                0.23183,                  2.257,                  1.824,                 2.8097,             0.00098745,             0.00098745,             0.00098745
                      9,                 1.6347,                 1.6702,                  2.053,                0.64574,                0.77624,                0.79082,                0.33729,                  1.969,                 1.5995,                 2.5636,             0.00089037,             0.00089037,             0.00089037
                     10,                 1.6086,                 1.5914,                 2.0293,                0.67896,                0.63001,                0.64826,                0.28223,                 2.3461,                 1.6176,                 2.9347,              0.0007933,              0.0007933,              0.0007933
                     11,                 1.5882,                 1.4946,                 1.9849,                0.57572,                  0.655,                0.60584,                0.24544,                 2.4966,                  1.465,                 3.1549,             0.00069622,             0.00069622,             0.00069622
                     12,                  1.539,                 1.3877,                 1.9435,                0.50261,                  0.525,                0.49888,                0.24796,                 2.5017,                 1.5863,                 3.0131,             0.00059914,             0.00059914,             0.00059914
                     13,                 1.5375,                 1.3443,                 1.9324,                0.62045,                0.51851,                0.54246,                0.26094,                 2.5443,                 1.5819,                 3.1238,             0.00050206,             0.00050206,             0.00050206
                     14,                 1.5002,                 1.2824,                 1.8705,                0.52593,                  0.675,                0.58944,                0.27765,                 2.3252,                 1.4022,                 2.7765,             0.00040498,             0.00040498,             0.00040498
                     15,                 1.4577,                 1.2498,                 1.8736,                0.62106,                   0.62,                0.62009,                 0.2975,                 2.4379,                 1.3346,                 2.9793,              0.0003079,              0.0003079,              0.0003079
                     16,                 1.4465,                 1.2189,                 1.8477,                0.54241,                   0.61,                0.57139,                0.27578,                 2.4747,                 1.4171,                 2.9818,             0.00021083,             0.00021083,             0.00021083
                     17,                 1.4304,                 1.2028,                 1.8137,                0.56351,                   0.67,                0.61526,                0.27692,                 2.4442,                 1.3221,                 2.9665,             0.00011375,             0.00011375,             0.00011375
