                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5193,                 2.4705,                 1.8535,                0.88315,                0.36068,                0.67097,                0.29607,                  1.558,                 2.9142,                 2.2111,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.4577,                 1.8892,                 1.7542,                0.51489,                0.73004,                0.69584,                0.36361,                  1.558,                 2.6781,                 2.3954,              0.0010276,              0.0010276,              0.0010276
                      3,                 1.4545,                  1.732,                 1.7522,                0.73053,                   0.67,                 0.8161,                0.38624,                 1.7216,                 2.3669,                 2.5264,              0.0014373,              0.0014373,              0.0014373
                      4,                 1.4926,                 1.6419,                 1.7445,                0.35497,                    0.4,                0.36569,                0.10942,                 2.4327,                 3.0654,                 3.0275,              0.0013369,              0.0013369,              0.0013369
                      5,                  1.442,                 1.4802,                 1.7084,                0.80705,                0.72021,                0.83028,                0.39848,                 1.7598,                 2.0958,                  2.279,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.5521,                 1.7157,                 2.0797,                0.77991,                0.84245,                0.90185,                0.44367,                 1.7061,                 1.4647,                 2.3041,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.4738,                 1.4843,                 2.0043,                0.89094,                  0.795,                0.85805,                 0.4544,                 1.7132,                  1.206,                 2.2562,              0.0010069,              0.0010069,              0.0010069
                      8,                 1.4605,                 1.3241,                  1.958,                0.95517,                  0.905,                0.95379,                 0.5183,                   1.57,                 1.0377,                 2.0669,             0.00089685,             0.00089685,             0.00089685
                      9,                 1.4672,                 1.3043,                 1.9697,                0.91035,                0.86513,                0.91843,                0.45917,                 1.7338,                 1.1791,                 2.2767,             0.00078682,             0.00078682,             0.00078682
                     10,                 1.4169,                 1.2235,                 1.9289,                0.92498,                  0.885,                0.94751,                0.49208,                   1.71,                 1.0338,                 2.1986,              0.0006768,              0.0006768,              0.0006768
                     11,                 1.3808,                 1.1737,                 1.9001,                0.94362,                0.91812,                0.96259,                0.51815,                 1.6778,                0.94456,                 2.1555,             0.00056678,             0.00056678,             0.00056678
                     12,                 1.3737,                 1.1192,                  1.867,                0.95265,                0.89465,                0.95948,                0.51025,                 1.6996,                0.95901,                 2.1299,             0.00045676,             0.00045676,             0.00045676
                     13,                 1.3326,                 1.0649,                 1.8566,                0.94913,                 0.8822,                0.95818,                0.53487,                 1.6188,                0.95418,                 2.1184,             0.00034674,             0.00034674,             0.00034674
                     14,                 1.3124,                 1.0158,                 1.8256,                0.94799,                 0.9043,                0.96104,                0.52092,                 1.6215,                0.95374,                 2.1088,             0.00023671,             0.00023671,             0.00023671
                     15,                 1.3036,                 1.0043,                 1.8048,                  0.939,                0.90849,                0.96912,                0.53531,                 1.6204,                0.90917,                 2.1041,             0.00012669,             0.00012669,             0.00012669
