                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6856,                 2.6892,                 1.9452,                0.72908,                  0.205,                0.29793,                0.09392,                 2.3371,                 3.2685,                  3.117,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.6017,                 2.1964,                 1.8406,                0.81286,                   0.33,                0.32513,                0.13756,                 2.3953,                 3.3274,                 3.3875,              0.0010458,              0.0010458,              0.0010458
                      3,                 1.5915,                 1.9894,                 1.8243,                0.75431,                  0.395,                0.35258,                0.14625,                 1.9107,                 4.1895,                 3.0891,               0.001492,               0.001492,               0.001492
                      4,                 1.6507,                 1.9996,                 1.8541,                0.93736,                   0.41,                0.44169,                0.21227,                  2.628,                 2.9284,                 3.4694,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.6016,                 1.7343,                 1.7858,                0.24306,                0.30744,                0.25751,                0.08956,                  2.679,                 3.0297,                 3.3582,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.6085,                 1.7332,                 1.8022,                0.94708,                   0.43,                0.54266,                0.25563,                 2.0047,                 2.0693,                 2.6583,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.5687,                  1.626,                 1.7781,                 0.7155,                0.72635,                0.78051,                0.32344,                 2.2075,                 1.6102,                 2.6476,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.5474,                 1.6042,                  1.752,                0.63205,                  0.645,                 0.6666,                0.30738,                 2.2372,                 1.5656,                 2.6755,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.5306,                 1.5083,                 1.7369,                0.65504,                   0.61,                0.57245,                0.25216,                 2.4682,                 1.8062,                 2.9005,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.4774,                 1.4479,                 1.7007,                0.68506,                  0.615,                0.65188,                0.28832,                 2.2076,                 1.5799,                  2.709,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.6181,                 1.6055,                 2.0552,                0.73023,                   0.62,                0.68623,                0.27198,                 2.3786,                 1.7289,                 2.8325,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.5916,                 1.5046,                 2.0046,                0.64739,                  0.675,                0.61908,                 0.2821,                 2.4026,                 1.3887,                 2.9877,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.5628,                 1.4087,                 1.9567,                0.61972,                   0.54,                0.53676,                0.25351,                 2.7765,                  1.519,                 3.6857,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.5821,                 1.3174,                 1.9383,                0.53435,                   0.63,                 0.5601,                0.28144,                 2.3697,                 1.4445,                 2.8622,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.5023,                 1.2863,                 1.9164,                0.68721,                0.66745,                0.67242,                0.26776,                 2.5635,                 1.3796,                 3.3009,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.5072,                 1.2771,                 1.9177,                0.69442,                 0.6687,                0.68333,                0.29636,                 2.3578,                 1.3088,                 2.8409,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.4818,                 1.2174,                 1.8529,                0.52299,                  0.565,                0.52935,                0.28277,                  2.477,                 1.5012,                 2.9715,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.4709,                 1.1784,                 1.8578,                0.71722,                0.71534,                0.72782,                0.28459,                 2.4524,                 1.2766,                 2.9721,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.4425,                 1.1756,                 1.8358,                0.60562,                   0.59,                 0.5677,                0.27231,                 2.5337,                 1.4408,                 3.0811,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.3979,                 1.1514,                  1.791,                0.55917,                  0.605,                0.56101,                0.26755,                 2.4498,                 1.4328,                 2.9466,             9.9187e-05,             9.9187e-05,             9.9187e-05
